gender,forehead_chin,left_ear_right_ear,height,weight,age
0,63.071388124885914,66.007575322837,5.9,54,32
0,41.012193308819754,29.017236257093817,5.5,0,49
1,33.06055050963308,34.058772731852805,5.5,60,54
0,67.02984409947557,47.095647357266465,5.10,57,32
1,94.02127418834527,73.06161783043132,6.1,75,45
1,59.413803110051795,70.11419257183242,5.10,72,70
0,90.80198235721508,67.446274915669,5.9,53,39
1,90.87353850269065,92.19544457292888,5.9,76,31
0,85.58621384311844,56.04462507680822,5.4,59,66
1,106.56922632730333,68.06614430096654,6.2,72,46
0,68.59300255857006,52.15361924162119,5.8,55,38
0,44.04543109109048,27.018512172212592,5.4,60,65
0,87.02298546935747,68.0,5.7,66,27
1,40.01249804748511,24.08318915758459,5.9,67,46
0,61.07372593840988,48.041648597857254,5.5,53,34
0,40.19950248448356,27.073972741361768,5.6,65,43
1,80.8084154033477,58.855755878248644,6.5,95,60
0,86.05230967266364,56.0357029044876,5.9,59,56
0,72.83543093852057,53.46026561849464,5.8,65,70
1,39.11521443121589,28.071337695236398,5.8,61,44
1,28.442925306655784,15.524174696260024,5.11,73,34
1,65.00769185258002,73.02739212103907,5.8,78,71
0,59.665735560705194,35.22782990761707,5.9,0,33
0,81.00617260431454,61.00819617067857,5.7,56,42
1,41.048751503547585,29.017236257093817,5.8,65,40
0,81.00617260431454,59.07622195096772,5.8,53,44
1,90.13878188659973,73.00684899377592,6.3,92,44
0,98.18350166906862,79.1012010022604,5.2,55,46
0,146.0,97.082439194738,6.1,73,44
0,197.20547659738054,166.14752480852673,5.3,50,39
1,78.00640999302557,70.00714249274856,5.8,82,47
1,27.16615541441225,15.0,5.6,55,38
1,32.14031735997639,28.071337695236398,6.1,80,46
0,34.23448553724738,32.0624390837628,5.8,54,32
0,29.832867780352597,23.769728648009426,5.6,0,33
1,114.10959644131601,113.63538181394033,5.9,76,70
0,78.05767098754612,52.23983154643591,5.5,53,54
0,69.00724599634447,53.03772242470448,5.10,65,35
0,59.21148537234985,46.17358552246078,5.7,55,36
1,37.013511046643494,24.08318915758459,0,0,49
0,68.73136110975832,48.093658625644196,5.10,58,45
1,62.0,51.03920062069938,5.9,84,91
1,32.01562118716424,16.0,5.7,58,40
1,34.058772731852805,36.0,0,0,39
0,23.08679276123039,17.0,5.10,56,38
1,38.05259518088089,36.0,6.3,79,60
1,44.04543109109048,31.016124838541646,5.7,91,55
0,39.11521443121589,28.0178514522438,5.10,59,37
0,76.6550715869472,51.478150704935004,5.3,54,62
0,53.03772242470448,28.284271247461902,0,0,31
0,72.24956747275377,52.03844732503075,5.9,59,48
0,58.077534382926416,57.0350769263968,5.4,60,37
0,76.24303246854758,65.29931086925804,5.10,65,44
0,58.54912467321779,49.8196748283246,5.7,56,39
1,97.32420048477151,51.894122981316485,6.12,111,39
0,96.62815324738438,66.49060083951716,5.4,58,57
0,69.05070600652827,38.27531841800928,5.4,66,50
0,51.0,29.410882339705484,5.6,56,46
1,44.04543109109048,31.064449134018133,5.10,94,39
0,41.012193308819754,31.016124838541646,5.8,57,45
1,65.00769185258002,67.00746227100382,5.10,72,36
1,92.91393867445294,53.03772242470448,6.8,100,58
0,83.0,54.3323108288245,5.9,55,37
0,100.00499987500625,72.00694410957877,5.8,58,42
0,69.58448102845921,38.2099463490856,5.5,57,58
0,68.06614430096654,55.44366510251645,5.3,93,31
1,90.0,67.1863081289633,0,0,43
0,86.46964785403026,66.18912297349165,5.1,51,77
0,77.05841939723393,46.010868281309364,5.8,51,39
0,77.02596964660685,71.02816342831905,5.5,53,30
0,64.00781202322104,50.24937810560445,5.9,58,53
0,80.09993757800315,25.709920264364882,5.7,57,37
0,66.03029607687671,62.39390995922599,5.4,50,39
0,39.20459156782532,26.68332812825267,4.12,45,34
0,96.04686356149273,63.150613615387776,0,0,47
0,79.1580697086532,55.00909015790027,5.8,55,39
0,74.81310045707235,49.49747468305833,5.11,59,41
0,154.00324671902212,142.03168660548954,5.7,59,40
1,54.0,29.017236257093817,6.2,80,28
0,35.12833614050059,32.0624390837628,5.10,63,45
1,33.24154027718932,26.1725046566048,6,78,55
0,34.058772731852805,23.08679276123039,5.12,60,30
0,45.17742799230607,39.11521443121589,5.4,51,33
0,41.012193308819754,22.20360331117452,5.3,43,34
0,35.510561809129406,29.068883707497267,5.7,54,29
0,49.01020301937138,35.12833614050059,5.7,58,60
0,87.14355971613737,71.06335201775947,5.9,55,33
1,77.41446893184762,61.204574992397426,5.8,65,34
1,78.40918313565064,54.74486277268398,5.11,71,54
1,111.00450441310929,71.11258679024411,6.6,116,34
1,46.010868281309364,38.05259518088089,6.1,92,57
0,108.07404868885037,69.1158447825099,5.4,62,51
0,120.59850745345068,75.95393340703298,5.10,56,33
0,52.23983154643591,26.92582403567252,5.6,47,29
0,86.14522621712709,60.13318551349163,5.11,0,44
0,38.3275357934736,29.068883707497267,5.6,57,42
0,62.16912416947821,51.088159097779204,5.10,65,39
0,56.08029957123981,52.03844732503075,5.11,59,38
1,77.1621668954417,43.289721643826724,0,0,50
0,63.06346010171025,57.55866572463264,5.3,55,39
0,68.8839603971781,72.69112738154499,5.7,58,45
1,54.00925846556311,39.45883931389772,6.2,83,40
0,74.33034373659252,72.44308110509934,5.4,50,29
1,33.0,25.019992006393608,5.5,59,37
0,37.656340767525464,27.294688127912362,5.7,54,43
0,41.012193308819754,22.561028345356956,0,0,36
0,40.11234224026316,32.01562118716424,5.4,54,27
1,79.76214641043707,87.05170877128145,5.9,67,45
1,87.05170877128145,55.00909015790027,5.10,82,48
1,40.049968789001575,32.0,6.1,82,58
0,47.01063709417264,28.0178514522438,5.6,54,47
0,78.10249675906654,47.51841748206689,5.5,50,35
1,63.387695966961914,52.3450093132096,6,80,59
0,63.387695966961914,50.80354318352215,5.10,67,54
0,53.85164807134504,40.80441152620633,5.8,56,45
1,81.2219182240853,58.008620049092706,5.11,68,51
0,20.8806130178211,13.152946437965905,5.7,55,41
0,92.77930803794561,91.02197536858887,5.3,48,37
